goos: linux
goarch: amd64
pkg: xml-perf-test/pkg/xml
cpu: Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz
Benchmark_etree-8               	      61	  16660021 ns/op	 5016570 B/op	  128127 allocs/op
Benchmark_etree-8               	      72	  15710935 ns/op	 5015296 B/op	  128126 allocs/op
Benchmark_etree-8               	      76	  15314776 ns/op	 5014834 B/op	  128126 allocs/op
Benchmark_etree-8               	      67	  15274440 ns/op	 5015907 B/op	  128126 allocs/op
Benchmark_etree-8               	      79	  15371935 ns/op	 5014618 B/op	  128126 allocs/op
Benchmark_etree-8               	      74	  14808478 ns/op	 5014882 B/op	  128126 allocs/op
Benchmark_etree-8               	      69	  15481542 ns/op	 5015395 B/op	  128126 allocs/op
Benchmark_etree-8               	      79	  15277004 ns/op	 5015137 B/op	  128126 allocs/op
Benchmark_etree-8               	      84	  14918862 ns/op	 5014210 B/op	  128126 allocs/op
Benchmark_etree-8               	      74	  15160972 ns/op	 5014987 B/op	  128126 allocs/op
Benchmark_etree-8               	      75	  15107825 ns/op	 5014688 B/op	  128126 allocs/op
Benchmark_etree-8               	      75	  14576724 ns/op	 5014925 B/op	  128126 allocs/op
Benchmark_etree-8               	      73	  14652452 ns/op	 5014959 B/op	  128126 allocs/op
Benchmark_etree-8               	      74	  14767288 ns/op	 5014891 B/op	  128126 allocs/op
Benchmark_etree-8               	      79	  14783046 ns/op	 5014531 B/op	  128126 allocs/op
Benchmark_etree-8               	      70	  14706492 ns/op	 5015314 B/op	  128126 allocs/op
Benchmark_etree-8               	      76	  14856944 ns/op	 5014605 B/op	  128126 allocs/op
Benchmark_etree-8               	      76	  14619455 ns/op	 5014833 B/op	  128126 allocs/op
Benchmark_etree-8               	      76	  14618200 ns/op	 5014636 B/op	  128126 allocs/op
Benchmark_etree-8               	      74	  14700757 ns/op	 5014885 B/op	  128126 allocs/op
Benchmark_etree-8               	      79	  15153905 ns/op	 5014499 B/op	  128126 allocs/op
Benchmark_etree-8               	      75	  14754610 ns/op	 5014687 B/op	  128126 allocs/op
Benchmark_etree-8               	      76	  14711108 ns/op	 5014726 B/op	  128126 allocs/op
Benchmark_etree-8               	      74	  14460129 ns/op	 5014871 B/op	  128126 allocs/op
Benchmark_etree-8               	      81	  15042689 ns/op	 5014387 B/op	  128126 allocs/op
Benchmark_etree-8               	      82	  14676628 ns/op	 5014330 B/op	  128126 allocs/op
Benchmark_etree-8               	      76	  16190676 ns/op	 5014718 B/op	  128126 allocs/op
Benchmark_etree-8               	      70	  16617705 ns/op	 5015188 B/op	  128126 allocs/op
Benchmark_etree-8               	      80	  17624391 ns/op	 5014435 B/op	  128126 allocs/op
Benchmark_etree-8               	      70	  17215068 ns/op	 5015053 B/op	  128126 allocs/op
Benchmark_native-8              	      73	  16990815 ns/op	 3730715 B/op	  108087 allocs/op
Benchmark_native-8              	      75	  15640151 ns/op	 3730444 B/op	  108087 allocs/op
Benchmark_native-8              	      73	  14894818 ns/op	 3730711 B/op	  108087 allocs/op
Benchmark_native-8              	      79	  15063907 ns/op	 3730273 B/op	  108087 allocs/op
Benchmark_native-8              	      76	  15315493 ns/op	 3730482 B/op	  108087 allocs/op
Benchmark_native-8              	      81	  15387631 ns/op	 3729918 B/op	  108087 allocs/op
Benchmark_native-8              	      80	  15280016 ns/op	 3730187 B/op	  108087 allocs/op
Benchmark_native-8              	      79	  14977473 ns/op	 3730165 B/op	  108087 allocs/op
Benchmark_native-8              	      76	  14944039 ns/op	 3730280 B/op	  108087 allocs/op
Benchmark_native-8              	      73	  14916497 ns/op	 3730730 B/op	  108087 allocs/op
Benchmark_native-8              	      69	  15553565 ns/op	 3730859 B/op	  108087 allocs/op
